compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
Ac1H2,aflow:903e65521a6472cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ac1H2_ICSD_56392,225,cF12,27.5974,56.1556
Ag10S8Sb2,aflow:d3aa24a7307877b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag5S4Sb1_ICSD_16987,36,oS40,11.2753,34.2733
Ag12Na4S8,aflow:b8403806e5d2513d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag3Na1S2_ICSD_73198,227,cF96,10.4363,29.8167
Ag16Ca6,aflow:52a92160866b3a2a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ag8Ca3_ICSD_107145,229,cI44,14.237,45.5833
Ag1Al1S2,aflow:e81fdf58728bbeef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Al1S2_ICSD_25356,156,hP4,29.328,71.1616
Ag1Au1Zn2,aflow:1304e00dd260415a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Au1Zn2_ICSD_57340,225,cF16,18.4788,94.7667
Ag1Bi1Li2,aflow:8b5c9383a7f1c116,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Bi1Li2_ICSD_57350,216,cF16,5.33507,39.2944
Ag1Br1,aflow:acc935168652beb5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Br1_ICSD_157536,225,cF8,9.608,38.6889
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,8.3819,114.983
Ag1C2K1,aflow:30b4ea4c8457fd17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1C2K1_ICSD_410874,123,tP4,4.37049,19.0697
Ag1C2Li1,aflow:4038910d534b860e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1C2Li1_ICSD_410868,187,hP4,5.53794,25.0376
Ag1Cd1,aflow:1a5594f050f5eeaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Cd1_ICSD_57360,221,cP2,4.77689,67.7056
Ag1Cd1Sb1,aflow:4db77c268007c7e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cd1Sb1_ICSD_52549,216,cF12,4.04665,55.6611
Ag1Cl1,aflow:59bce60e4ed76f05,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cl1_ICSD_157535,225,cF8,8.66364,40.6111
Ag1Cu4Dy1,aflow:c43242ccdc84ef23,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Dy1_ICSD_605006,216,cF24,14.8512,99.5222
Ag1Cu4Er1,aflow:971f56ac3fa243bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Er1_ICSD_605007,216,cF24,20.4971,97.6833
Ag1Cu4Nd1,aflow:915d74e242423f08,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Nd1_ICSD_605036,216,cF24,29.4654,82.6611
Ag1Cu4Tb1,aflow:976df953c715c8df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Tb1_ICSD_605048,216,cF24,27.4589,98.4611
Ag1Cu4U1,aflow:a33f98efd9bfc969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4U1_ICSD_603921,216,cF24,27.8044,90.1778
Ag1Cu4Yb1,aflow:e002ba9b40b19f1c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Yb1_ICSD_605055,216,cF24,24.3184,78.6556
Ag1Dy1,aflow:ad8b903eea462234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Dy1_ICSD_150538,221,cP2,25.6145,63.2722
Ag1Er1,aflow:d3311cbd31908b52,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Er1_ICSD_167893,221,cP2,27.0777,65.6
Ag1F1,aflow:bcee7bb7be81cfb8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1F1_ICSD_18008,225,cF8,6.75174,55.1611
Ag1F3Zn1,aflow:c2bae074d76f81b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1F3Zn1_ICSD_28950,221,cP5,31.6454,82.9444
Ag1Ga1,aflow:7ce7192fd654501b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Ga1_ICSD_104466,221,cP2,14.105,55.2944
Ag1Gd1,aflow:b08aeea1f94fa24c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Gd1_ICSD_150536,221,cP2,15.0116,74.5111
Ag1Hf2,aflow:bbfa0d883212ae9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Hf2_ICSD_163152,139,tI6,44.963,104.194
Ag1Ho1,aflow:2236cb624d741ca7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Ho1_ICSD_104474,221,cP2,26.2447,64.7944
Ag1I1,aflow:382493c94d1059f4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1I1_ICSD_161581,225,cF8,10.1121,33.0778
Ag1I1,aflow:61ae06e7e303a5bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1I1_ICSD_161579,216,cF8,4.32363,24.8667
Ag1In5Se8,aflow:59aa7f06d2a88d1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Se8_ICSD_35597,111,tP14,11.5009,24.0865
Ag1In5Te8,aflow:03ae9fb0ad91fcf6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Te8_ICSD_151871,111,tP14,10.7719,21.5713
Ag1La1,aflow:6f8934d40bc1c3b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1La1_ICSD_150963,221,cP2,8.16272,46.6056
Ag1La1,aflow:fdbdd132b64b5e94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1La1_ICSD_58306,123,tP2,9.82671,27.995
Ag1Li1,aflow:4c10b43e69b72e7c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Li1_ICSD_58310,221,cP2,11.7596,37.1278
Ag1Li2Sb1,aflow:f617cfebecd6bba0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Li2Sb1_ICSD_52589,216,cF16,9.57989,44.0278
Ag1Mg1,aflow:88ed2152280d6868,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mg1_ICSD_150831,221,cP2,20.6328,57.1778
Ag1Mg1Sb1,aflow:d63cc0a05a52c00f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Mg1Sb1_ICSD_187149,216,cF12,8.93284,54.3667
Ag1Mn3N1,aflow:c568d79d0d0e9fc8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mn3N1_ICSD_52592,221,cP5,24.7122,58.2889
Ag1N1,aflow:68aff55b0748f486,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1N1_ICSD_185555,225,cF8,28.8564,130.858
Ag1Na1O1,aflow:f49a2a60b1665577,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Na1O1_ICSD_188531,216,cF12,21.7779,56.8722
Ag1Nb1O3,aflow:8944b3eb2c189cb7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Nb1O3_ICSD_55649,221,cP5,81.4251,189.9
Ag1P1Pd5,aflow:92282260eb315f3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1P1Pd5_ICSD_605631,123,tP7,36.523,142.987
Ag1P1Pt5,aflow:c617361aadf1a089,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1P1Pt5_ICSD_605633,123,tP7,37.4528,193.949
Ag1Pt3,aflow:e2ded1c71ca5f4b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Pt3_ICSD_180886,221,cP4,51.0089,191.067
Ag1Pt5Si1,aflow:c6eee5e705fb3446,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Pt5Si1_ICSD_605693,123,tP7,49.6534,203.29
Ag1Sc1,aflow:528f39089c3a8aaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Sc1_ICSD_58348,221,cP2,28.8155,74.1389
Ag1Tb1,aflow:f0216227e77670e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Tb1_ICSD_58363,221,cP2,23.4401,61.7444
Ag1Ti2,aflow:cd218b45a20c9d02,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Ti2_ICSD_605935,139,tI6,45.4014,105.392
Ag1Y1,aflow:f36e18a378d3536b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Y1_ICSD_58376,221,cP2,34.2449,60.2167
Ag1Yb1,aflow:814ca132a7938e3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Yb1_ICSD_58378,221,cP2,8.55083,28.0056
Ag1Zn1,aflow:8695dbc1dce08b16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Zn1_ICSD_150570,221,cP2,11.3024,79.8833
Ag1Zr2,aflow:0096426c57ae3f16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,139,tI6,26.3813,94.1046
Ag2,aflow:59063b52ef54c3cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1_ICSD_56269,194,hP2,23.0691,77.3714
Ag2Al1Sc1,aflow:ab6f8d92be6bad9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Al1Sc1_ICSD_57333,225,cF16,14.8218,86.5611
Ag2Al2O4,aflow:6c2aa8cffae6bd98,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Al1O2_ICSD_300020,194,hP8,21.9043,142.581
Ag2Al2Se4,aflow:877eb327e670859d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Al1Se2_ICSD_28745,122,tI16,16.3511,49.4874
Ag2Al2Te4,aflow:dc0402cf588bb06d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Al1Te2_ICSD_28746,122,tI16,14.3119,40.2549
Ag2As2Ba2,aflow:c78a80a4276e8729,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Ba1_ICSD_8278,194,hP6,27.8761,42.2606
Ag2As2Sr2,aflow:cbd0cb3bc230996a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Sr1_ICSD_49742,194,hP6,29.739,44.9698
Ag2Au2F8,aflow:9ee5b4685cffe258,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Au1F4_ICSD_90071,140,tI24,12.0532,36.5928
Ag2Ba1Sn2,aflow:2174b1eb1799790d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Ba1Sn2_ICSD_25332,139,tI10,20.8839,43.2198
Ag2Ba2P2,aflow:6526b6bd6018f3c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ba1P1_ICSD_41706,194,hP6,30.6777,47.0501
Ag2Be4,aflow:906cf5402e55f573,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Be2_ICSD_57347,227,cF24,82.9459,114.533
Ag2Bi2Ca2,aflow:d145209fb6e7e5ee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Bi1Ca1_ICSD_416283,186,hP6,20.6115,41.4516
